comments,sub_title,downs,isexpert,user_name,quality_score,created_at,digg,recommend,title,type,url,sourcetype,id,tag,category,strategy,views,desc,nickname,category_id,strategy_id,summary,shown_offset,shown_time,user_url,avatar
13,,0,0,hguisu,0,3天前,38,false,架构师成长之路(3)--如何成为架构师（方法）,blog,https://blog.csdn.net/hguisu/article/details/46687555,0,46687555,,,其它,33778,"前言：哲学家常思考的问题：""我是谁？""""我从哪里来？""""要到哪里去？不只是哲学家，我想每个人都有自己对这三个问题的认知。如果我们要成为架构师，我们自己要面临的三大问题：找准自己定位：我是谁？在哪里？怎样做好架构师：我要做什么？如何搭建架构师知识体系：我该怎么做？这里面就是做事方法论：目标（我要做什么），方法（计划）（我该怎么做）,执行/行动0.能力等级定义心理...",规速,none,u_c_null,"前言：哲学家常思考的问题：&quot;我是谁？&quot;&quot;我从哪里来？&quot;&quot;要到哪里去？不只是哲学家，我想每个人都有自己对这三个问题的认知。如果我们要成为架构师，我们自己要面临的三大问题：找准自己定位：我是谁？在哪里？怎样做好架构师：我要做什么？如何搭建架构师知识体系：我该怎么做？这里面就是做事方法论：目标（我要做什么），方法（计划）（我该怎么做）,执行/行动0.能力等级定义心理...",1573119041,1573119041,https://blog.csdn.net/hguisu,https://profile.csdnimg.cn/F/2/A/1_hguisu
1,,0,0,csdnnews,0,1天前,2,true,英特尔不为人知的 B 面,blog,https://blog.csdn.net/csdnnews/article/details/102921591,0,102921591,,,其它,938,从PC时代至今，众人只知在CPU、GPU、XPU、制程、工艺等战场中，英特尔在与同行硬件芯片制造商们的竞争中杀出重围，且在不断的成长进化中，成为全球知名的半导体公司。殊不知，在「刚硬」的背后，英特尔「柔性」的软件早已经做到了全方位的支持与支撑，并持续发挥独特的生态价值，推动产业合作共赢。而对于这一不知人知的B面，很多人将其称之为英特尔隐形的翅膀，虽低调，但是影响力却不容小觑。那么，在...,CSDN资讯,none,u_c_null,从PC时代至今，众人只知在CPU、GPU、XPU、制程、工艺等战场中，英特尔在与同行硬件芯片制造商们的竞争中杀出重围，且在不断的成长进化中，成为全球知名的半导体公司。殊不知，在「刚硬」的背后，英特尔「柔性」的软件早已经做到了全方位的支持与支撑，并持续发挥独特的生态价值，推动产业合作共赢。而对于这一不知人知的B面，很多人将其称之为英特尔隐形的翅膀，虽低调，但是影响力却不容小觑。那么，在...,1573119041,1573119041,https://blog.csdn.net/csdnnews,https://profile.csdnimg.cn/C/3/E/1_csdnnews
6,,0,0,yuanziok,0,3天前,12,true,我花10个小时，写出了小白也能看懂的阿里数据中台分析,blog,https://blog.csdn.net/yuanziok/article/details/102891978,0,102891978,,,其它,1326,数据中台被誉为大数据的下一站，由阿里兴起，核心思想是数据共享，2015年阿里提出“大中台，小前台”的策略。2018年因为“腾讯数据中台论”，中台再度成为了人们谈论的焦点。2019年，似乎人人都在提数据中台，但却不是所有人都清楚数据中台到底意味着什么。数据中台是只有大厂才需要考虑的高大上的概念吗？普通企业该不该做数据中台？数据中台的出现会给现有数据从业者们带来颠覆式的挑战吗？数据中台不是大...,yuanziok,none,u_c_null,数据中台被誉为大数据的下一站，由阿里兴起，核心思想是数据共享，2015年阿里提出&ldquo;大中台，小前台&rdquo;的策略。2018年因为&ldquo;腾讯数据中台论&rdquo;，中台再度成为了人们谈论的焦点。2019年，似乎人人都在提数据中台，但却不是所有人都清楚数据中台到底意味着什么。数据中台是只有大厂才需要考虑的高大上的概念吗？普通企业该不该做数据中台？数据中台的出现会给现有数据从业者们带来颠覆式的挑战吗？数据中台不是大...,1573119041,1573119041,https://blog.csdn.net/yuanziok,https://profile.csdnimg.cn/C/E/4/1_yuanziok
38,,0,0,juwikuang,0,4天前,104,true,2019年11月全国程序员工资统计，区块链工程师比算法工资高。,blog,https://blog.csdn.net/juwikuang/article/details/102876476,0,102876476,,,其它,11348,我每个月第一天（也许是第二天，第三天），会爬招聘网站，并在CSDN发布。趋势本月全国程序员平均工资为13451元，比上个月略涨。北上广深杭工资趋势区块链程序员的工资职能工资系统架构师23031区块链工程师20701算法工程师19645Python工程师17882Java工程师14080区块链工程师的工资比算法工程师要高哇，后悔...,有数可据,none,u_c_null,我每个月第一天（也许是第二天，第三天），会爬招聘网站，并在CSDN发布。趋势本月全国程序员平均工资为13451元，比上个月略涨。北上广深杭工资趋势区块链程序员的工资职能工资系统架构师23031区块链工程师20701算法工程师19645Python工程师17882Java工程师14080区块链工程师的工资比算法工程师要高哇，后悔...,1573119041,1573119041,https://blog.csdn.net/juwikuang,https://profile.csdnimg.cn/7/0/5/1_juwikuang
8,,0,0,Forgetxbw,0,1天前,2,false,武汉理工大学《软件工程》复习总括三,blog,https://blog.csdn.net/Forgetxbw/article/details/102923736,0,102923736,,,其它,91,第六章软件结构体系软件结构体系的内容：1、构件：代表着一组基本的构成要素2、连接件：也就是构件之间的连接关系3、约束：是作用于构件或者连接关系上的一些限制条件4、质量：是系统的质量属性，如性能、可扩展性、可修改性、可重用性、安全性等。5、物理分布：代表着构件连接之后形成的拓扑结构，描述了软件到硬件之间的影射。软件结构体系发展的阶段：体系结构、软件框架、设计模式三者的联系和区别：体...,自闭i,none,u_c_null,第六章软件结构体系软件结构体系的内容：1、构件：代表着一组基本的构成要素2、连接件：也就是构件之间的连接关系3、约束：是作用于构件或者连接关系上的一些限制条件4、质量：是系统的质量属性，如性能、可扩展性、可修改性、可重用性、安全性等。5、物理分布：代表着构件连接之后形成的拓扑结构，描述了软件到硬件之间的影射。软件结构体系发展的阶段：体系结构、软件框架、设计模式三者的联系和区别：体...,1573119041,1573119041,https://blog.csdn.net/Forgetxbw,https://profile.csdnimg.cn/9/E/9/1_forgetxbw
3,,0,0,Powerful_Fy,0,2天前,5,true,MySQL主从复制,blog,https://blog.csdn.net/Powerful_Fy/article/details/102905100,0,102905100,,,其它,78,文章目录Mysql主从介绍配置主机器A（master）配置从机器B（slave）Mysql主从介绍MySQL主从又叫做Replication、AB复制。简单讲就是A和B两台机器做主从后，在A上写数据，另外一台B也会跟着写数据，两者数据实时同步的，在B机器上读数据，实现数据的读写分离，可以极大的提升性能，降低服务器负载，MySQL主从是基于binlog的，主上须开启binlog才能进行主从过...,Asnfy,none,u_c_null,文章目录Mysql主从介绍配置主机器A（master）配置从机器B（slave）Mysql主从介绍MySQL主从又叫做Replication、AB复制。简单讲就是A和B两台机器做主从后，在A上写数据，另外一台B也会跟着写数据，两者数据实时同步的，在B机器上读数据，实现数据的读写分离，可以极大的提升性能，降低服务器负载，MySQL主从是基于binlog的，主上须开启binlog才能进行主从过...,1573119041,1573119041,https://blog.csdn.net/Powerful_Fy,https://profile.csdnimg.cn/6/4/1/1_powerful_fy
0,,0,0,liang183691,0,1天前,2,false,基于可靠消息服务的分布式事务,blog,https://blog.csdn.net/liang183691/article/details/102931944,0,102931944,,,其它,62,基于可靠消息服务的分布式事务什么是分布式事务解决方案概述流程超时询问机制投递流程和TCC方案对比代码实现什么是分布式事务随着微服务架构的普及，一个大型业务系统往往由若干个子系统构成，而这些子系统又拥有各自独立的数据库。往往一个业务流程需要由多个子系统共同完成，而且这些操作可能需要在一个事务中完成。在微服务系统中，这些业务场景是普遍存在的。此时，我们就需要在数据库之上实现支持跨数据库的事务支持，...,liang183691,none,u_c_null,基于可靠消息服务的分布式事务什么是分布式事务解决方案概述流程超时询问机制投递流程和TCC方案对比代码实现什么是分布式事务随着微服务架构的普及，一个大型业务系统往往由若干个子系统构成，而这些子系统又拥有各自独立的数据库。往往一个业务流程需要由多个子系统共同完成，而且这些操作可能需要在一个事务中完成。在微服务系统中，这些业务场景是普遍存在的。此时，我们就需要在数据库之上实现支持跨数据库的事务支持，...,1573119041,1573119041,https://blog.csdn.net/liang183691,https://profile.csdnimg.cn/9/B/9/1_liang183691
112,,0,0,qq_44543508,0,9天前,227,false,史上最详细的IDEA优雅整合Maven+SSM框架（详细思路+附带源码）,blog,https://blog.csdn.net/qq_44543508/article/details/100192558,0,100192558,,,其它,16762,网上很多整合SSM博客文章并不能让初探ssm的同学思路完全的清晰，可以试着关掉整合教程，摇两下头骨，哈一大口气，就在万事具备的时候，开整，这个时候你可能思路全无~中招了咩~，还有一些同学依旧在使用eclipse或者Myeclipse开发，我想对这些朋友说IDEA的编译速度很快，人生苦短，来不及解释了，直接上手idea吧。这篇文章每一步搭建过程都测试过了，应该不会有什么差错。本文章还有个比较优秀的特点，就是idea的使用，基本上关于idea的操作都算是比较详细的，所以不用太担心不会撸idea！最后，本文,宜春,none,u_c_null,网上很多整合SSM博客文章并不能让初探ssm的同学思路完全的清晰，可以试着关掉整合教程，摇两下头骨，哈一大口气，就在万事具备的时候，开整，这个时候你可能思路全无~中招了咩~，还有一些同学依旧在使用eclipse或者Myeclipse开发，我想对这些朋友说IDEA的编译速度很快，人生苦短，来不及解释了，直接上手idea吧。这篇文章每一步搭建过程都测试过了，应该不会有什么差错。本文章还有个比较优秀的特点，就是idea的使用，基本上关于idea的操作都算是比较详细的，所以不用太担心不会撸idea！最后，本文,1573119041,1573119041,https://blog.csdn.net/qq_44543508,https://profile.csdnimg.cn/7/1/6/1_qq_44543508
61,,0,0,qing_gee,0,10月28日,57,false,哪些 Java 知识不需要再学了,blog,https://blog.csdn.net/qing_gee/article/details/102784577,0,102784577,,,其它,8105,张无忌在学太极拳的时候，他爹的师父张三丰告诫他一定要把之前所学习的武功全部忘掉，忘得越多就会学得越快。同样的，自学Java的时候一定要先知道哪些Java知识不需要再学了，毕竟技术的更新迭代就好像火箭一样快，Java的一些知识点早已经过时了。如果不懂得断舍离，那学起来就不免太痛苦了。1）AWT和Swing真不知道为什么，有些书籍还在介绍AWT和Swing，这就好像不知道大清...,沉默王二,none,u_c_null,张无忌在学太极拳的时候，他爹的师父张三丰告诫他一定要把之前所学习的武功全部忘掉，忘得越多就会学得越快。同样的，自学Java的时候一定要先知道哪些Java知识不需要再学了，毕竟技术的更新迭代就好像火箭一样快，Java的一些知识点早已经过时了。如果不懂得断舍离，那学起来就不免太痛苦了。1）AWT和Swing真不知道为什么，有些书籍还在介绍AWT和Swing，这就好像不知道大清...,1573119041,1573119041,https://blog.csdn.net/qing_gee,https://profile.csdnimg.cn/9/1/2/1_qing_gee
0,,0,0,xinlinliu,0,22小时前,1,false,Hadoop01-入门&amp;集群环境搭建--非原创（test）,blog,https://blog.csdn.net/xinlinliu/article/details/102940992,0,102940992,,,其它,85,Hadoop01-入门&amp;集群环境搭建今日内容​Hadoop的介绍​集群环境搭建准备工作​Linux命令和Shell脚本增强​集群环境搭建来来来大数据概述​大数据:就是对海量数据进行分析处理，得到一些有价值的信息，然后帮助企业做出判断和决策.​处理流程:​1:获取数据​...,xinlinliu,none,u_c_null,Hadoop01-入门&amp;amp;集群环境搭建今日内容​Hadoop的介绍​集群环境搭建准备工作​Linux命令和Shell脚本增强​集群环境搭建来来来大数据概述​大数据:就是对海量数据进行分析处理，得到一些有价值的信息，然后帮助企业做出判断和决策.​处理流程:​1:获取数据​...,1573119041,1573119041,https://blog.csdn.net/xinlinliu,https://profile.csdnimg.cn/0/E/4/1_xinlinliu
